7.10877;7.74517
6.37571;7.17575
5.73063;6.67466
5.16295;6.2337
4.6634;5.84566
4.22379;5.50418
3.83694;5.20368
3.4965;4.93924
3.19692;4.70653
2.93329;4.50174
2.7013;4.32153
2.49714;4.16295
2.31748;4.0234
2.15939;3.90059
2.02026;3.79252
1.89783;3.69742
1.79009;3.61373
1.69528;3.54008
1.61185;3.47527
1.53842;3.41824
1.47381;3.36805
1.41696;3.32388
1.36692;3.28502
1.32289;3.25081
1.28414;3.22072
1.25005;3.19423
1.22004;3.17092
1.19364;3.15041
1.1704;3.13236
1.14995;3.11648
1.13196;3.1025
1.11612;3.0902
1.10219;3.07938
1.08993;3.06985
1.07913;3.06147
1.06964;3.05409
1.06128;3.0476
1.05393;3.04189
1.04746;3.03686
1.04176;3.03244
1.03675;3.02855
1.03234;3.02512
1.02846;3.02211
1.02504;3.01945
1.02204;3.01712
1.01939;3.01507
1.01707;3.01326
1.01502;3.01167
1.01322;3.01027
1.01163;3.00903
1.01023;3.00795
1.00901;3.007
1.00793;3.00616
1.00697;3.00542
1.00614;3.00477
1.0054;3.0042
1.00475;3.00369
1.00418;3.00325
1.00368;3.00286
1.00324;3.00252
1.00285;3.00221
1.00251;3.00195
1.00221;3.00171
1.00194;3.00151
1.00171;3.00133
1.0015;3.00117
1.00132;3.00103
1.00116;3.0009
1.00103;3.0008
1.0009;3.0007
1.00079;3.00062
1.0007;3.00054
1.00061;3.00048
